Stakeholder,Organization category,Overall role,Role in DBE,Mandates,Triggers,Organization's Mission
Biological Weapons Convention Implementation Support Unit (BWC ISU),UN Organizations,Solve problems with the implementation and enforcement of the Biological Weapons Convention (BWC).,Responsible for requesting an investigation into a breach of the BWC; would assist States facing a hazardous exposure as a result of a violation of the BWC.,"Biological Weapons Convention,Biological Weapons Convention Conference VI",Request for assistance by the UN Security Council after a request is made to them by a government as outlined in Article VII of the BWC,D.-Feakes_BWC-ISU-presentation.pdf (https://v5.airtableusercontent.com/v3/u/45/45/1757448000000/2YapsRDGL-RwQKpSgki7NA/S_kLnLQz4fe_V6Krm4kEaj2vTmvdhvfsDDWM6dGHnUqcAseFtixy_0pytWaJzn_V2q9nGL5vM4Sujd7XoJScT-uJFdNz-0PB4MLFDB8g-o7Rhgk6BcNjRkkpDotZwa9g3Tk78ciIOYf8qeVfxWiTsW9D7dx2xgjh3KkAbLl9juvGTZ6oVRnb3uqglLxgPcTS/H9bjFFXEpyw6oSuDax4oLG8duUMqZs75snanuAUfAhU)
Biotechnology companies,Private Sector,"R&D and development of novel drugs, vaccines, and diagnostic tools.","R&D and development of novel drugs, vaccines, and diagnostic tools. Based on company-specific mandate, would be involved if there was a need for development or distribution of novel diagnostic tests or other relevant materials.",Organization-specific mandates,"Based on company-specific mandate, would be involved in there was a need for additional telecommunication support in the impacted area",
Coalition for Epidemic Preparedness Innovations (CEPI),NGOs,Finance and coordinate the development of new vaccines to prevent and contain infectious disease epidemics.,Leverage existing capabilities and partnerships against new epidemic diseases.,Organization's mission,,Organizational Policy Creation and Management Policy.pdf (https://v5.airtableusercontent.com/v3/u/45/45/1757448000000/kAdo9W151fg5gfPoXOeCNA/IiiRZzOsb_TPH5y-jQpxySld8mRa3Ezw_fqXk-ldVGTLh0vYbS8D2NqjFDAsbMIL--6a1B46N5VtKSHSkPiNTgamRkHfQuvUywe50hXX76BJTJUhWSgxn-Wvw576rA-ijz95uA3Gz2pBtNqXGxI5erYK4VMpJevx3dg4WGb2BpQop4XghBqjW50bj8QGnXjgMdgxEaBU5n_HFbpJWUbO5g/9YHZE3dZ3aQMzXvki-ImX-h-mjvHlGTxlhRFhkwcba0)
Counter-Terrorism Implementation Task Force (CTITF),UN Organizations,Strengthen coordination and coherence of counter-terrorism efforts of the United Nations system,Build capacity to prevent and combat terrorism.,,,pdfs_terrorism-directory_3-CTITF-AlQaida.pdf (https://v5.airtableusercontent.com/v3/u/45/45/1757448000000/iIwvUunr0vZef35YEDKw5A/XywZyqgD24br08qDgEIzoa_DDNUJdsgkK93HiOzNaoz07FDCduKVKm-OLBMmbBvC5eqhT3zucg5IA7W4WCHtZy5RYdVfN-I_1p0lbev3bG-LlouEG5eHDwfL6CxWyp--qqU6CAOXI7iFrb6YOPJCcVziTSe1h7ZxozA7H5A7pQ82_XDjj4bztFBEO9e6np2cG660wzaqtRDjUuTuYfGo4w/wznFIrc-W2utwq4fyObTGKYXuaRnmyLIfLaKAlaTDyM)
Food and Agriculture Organization of the United Nations (FAO),UN Organizations,"Support policies and political commitments that promote food security. Upon request, FAO could, possibly also in coordination with other agencies, assess the effects of the deliberate biological event on agricultural production and food safety and provide advice on counter measures needed.","Support policies and political commitments that promote food security. Upon request, FAO could, possibly also in coordination with other agencies, assess the effects of the deliberate biological event on agricultural production and food safety and provide advice on counter measures needed.",FAO Constitution,Request from any UN member State or request from UN Secretary General,GRTFNNetwork-Charter.pdf (https://v5.airtableusercontent.com/v3/u/45/45/1757448000000/KSRYzoFIlja_lTcxuAKFmA/vHFARqUdP40CooBdYbRJWOsmWb-A17zoAGAu6Lia35ctIx0V9PsY32rEV_-s9PRR9s4I4GWCIFxHRPz1q_8nJH9BWqOMmECXv6XbPCscVOslqxFGsbLAQhfX-xG-AGbUch0wocIISUFlueA_zU_XLe0LnRAT30Xit5lHjzjWHuM/k6RSp3km1oOOUkKO5PqcGy2T_P93uWKfyqH2UOrzwkY)
"GAVI, the Vaccine Alliance",NGOs,Improve access to new and underused vaccines for children living in the world’s poorest countries.,"Fund emergency routine vaccine introductions, an emergency stockpile, and preventive vaccination campaigns.",Organization's mission,,programme-and-policy-committee-charter (1).pdf (https://v5.airtableusercontent.com/v3/u/45/45/1757448000000/LXF1_EUAUy6p2V-cuWfj6A/vuGb3GIrl0P5-NfV_KFOavstLv_GO4f6KFUMfeRGWe5Vg4IrHWCjzjVwOQ8IxTu62RY3F8BSCMPXOXUoC0PnK4ld-Bzg9YYhYhs9Y8TaGzd8Rfmbm39LkRXYJl3kAgooWV-r1XC9gFlc6qmKSEAnp9CkdTx7tjgEpEyh41yRR-DtUU1mMP8K3VDKvPWkudViQb0UCb5ziNN39B5c8gGrFQ/Q4JKp-zKgBSXXBx36xPk11z2K1Lnrur_YB6o_f2wBf0)
Global Health Security Alliance Private Sector Round Table (GHSA PSRT),Private Sector,"The mission of the Private Sector Roundtable is to mobilize industry to helpcountries prevent, detect and respond to health-related crises, and strengthensystems for health security.",Support global supply network to address public health emergencies with necessary products and equipment; provide expert assistance and technological and public health support.,Organization-specific mandates,Upon request,The-Private-Sector-as-a-Key-Partner-in-Health-System-Strengthening.pdf (https://v5.airtableusercontent.com/v3/u/45/45/1757448000000/DyHg_Kap6TkLU3uY5fos5A/8_Vy8OB4FV-tfNXXKrIjkOEPyH-fvPPsl6_iXu3GogWc1en046CC1xjvSfsmj1xiCrT8vC7mf6g9P4dpLEQ0UQFE21IRh7cGy_sf58EbbZXJVLGwuyfTD__i3wtuVm-j5FEuKz1OQI9BQGxjTh1-WSZzB24kOZRT-OlEiEX2f97flhhex_IHZNgTTLjP8EmCsaSn8oK2wYKf3Bhm0M9MqPMrHSDyaxj-EVpKHtES2gM/7V4uT5k9pJZ9Rut4-3EzKC8sJKaxOTfY2rimppE_b90)
International Civil Aviation Organization (ICAO),UN Organizations,Advise States and airlines of any potential risks to civil aviation and scheduled services.,Advise States and airlines of any potential risks to civil aviation and scheduled services.,Cooperative Arrangement for the Prevention of Spread of Communicable Disease through Air Travel (CAPSCA),Affected State Command and Control compromised,ICAO-Evaluation-Policy-2021-03August2023.pdf (https://v5.airtableusercontent.com/v3/u/45/45/1757448000000/_C4S7Wbo6l7p_9Dy8uGqog/6IcrW5PuElFQh3nF_aIKM3msYYflbw1uNKQo7-CqeejcuuS9DSuh3dt0v1EmvclXMpyLlb_HK0uCtmiahzLuuXxbE0VDctDfaEH3x8b79LcBe6FFpp9XHUsVQrYZz2DCntOJ0wjMRRTtdEPh2KEXRcEjtWyIsKuYLAwkUdHsEe2DYVGLo37bK6FPiUDDyeUDAS2FbdXns2f61ZoqJ1s-sg/zCVRh4xJEu2gmDhMZ2x3xqMVX2CTkL0J7ju0hWQIJnY)
International Committee of the Red Cross (ICRC),Non-UN International Organizations,"Impartial, neutral and independent organization whose exclusively humanitarian mission is to protect the lives and dignity of victims of armed conflict and other situations of violence and to provide them with assistance.",Would only be involved in response activities if the DBE takes place in conflict affected area where the ICRC is already active.,"Resolutions of the International Conferences of the Red Cross and Red Crescent Societies,Geneva Conventions of 1949",,01_IFRC-Constitution-2019-EN.pdf (https://v5.airtableusercontent.com/v3/u/45/45/1757448000000/4lpZij-hUrE1ZPGCS1FnIA/-Ek6ROjuZeCzBnUKJqcNZMUZ22CXdy2nrthvQup94RqHzbHTSUWSajIAXD_6JmvPx9XqGrbEc4TbtOwLDQXrAUDh9RWPa4Bus6NxVvivk1U8kbJWTsJSuzH9eUpplKirqpZlIgieB8hsSgiHFUHl5BDDPX7tK-fiC2pTu30_WUnt54q5DEw3NSFaxWgvp7s4/PvpBAwV30ekiZhzrpMntInWKN0UA_3B7hZOkkOA5tEo)
International Criminal Police Organization (INTERPOL),Non-UN International Organizations,Serve as the worldwide information hub for law enforcement cooperation; deliver policing capabilities that support member countries to fight and prevent transnational crimes; consolidate resources and governance structures for enhanced operational performance.,Provide support to national law enforcement authorities with criminal investigation and fact gathering.,Article 2 INTERPOL Constitution,Request from any Member State,01 E Constitution_2024 (3).pdf (https://v5.airtableusercontent.com/v3/u/45/45/1757448000000/w9j1T3N1pgGOhWvaRzg6Gw/OSdqNck_hc_n3f-lrGbocF0f2fuFl1jpK4pSI2E4hIAni9Z_Pv5JHNKxLD8PNqpvwdXYjtj7QT4YhNX3M4gyY7XkaCdbyC8yF0QlmVrD8M2Bgf5UILgL8JsQT-aCajB-CBhdgwJmsNY0Q577TeH8ZP3G0Ua0geUMP3LRB_AkJao/69FRuzB9QSGqEZcsWHY449feM7hBpjykinOhXKkg880)
